label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
IDLE,0.0,0.0,0.0,-0.5136512,-0.1830316,-0.08832597,-0.8598353,-0.4033192,-0.09243466,-1.0557966,-0.6865034,-0.109374836,-1.0789435,-0.91457677,-0.109938234,-0.68917656,-0.79290146,0.22952445,-0.83063966,-1.0347421,0.19168447,-0.9082728,-1.1538849,0.07774362,-0.98618686,-1.261538,-0.025919124,-0.4540104,-0.8639836,0.21773158,-0.565139,-1.1529406,0.19756363,-0.64546996,-1.281784,0.0655986,-0.7462341,-1.3367335,-0.050124805,-0.20806773,-0.8693112,0.16936578,-0.26281694,-1.1553205,0.100171715,-0.36984417,-1.277178,-0.028363395,-0.4826569,-1.241114,-0.116825886,0.07171865,-0.83649987,0.10789076,0.050202668,-1.0776926,0.024310803,-0.06963166,-1.1895653,-0.05910037,-0.20857705,-1.1774522,-0.114487275
IDLE,0.0,0.0,0.0,-0.5136512,-0.1830316,-0.08832597,-0.8598353,-0.4033192,-0.09243466,-1.0557966,-0.6865034,-0.109374836,-1.0789435,-0.91457677,-0.109938234,-0.68917656,-0.79290146,0.22952445,-0.83063966,-1.0347421,0.19168447,-0.9082728,-1.1538849,0.07774362,-0.98618686,-1.261538,-0.025919124,-0.4540104,-0.8639836,0.21773158,-0.565139,-1.1529406,0.19756363,-0.64546996,-1.281784,0.0655986,-0.7462341,-1.3367335,-0.050124805,-0.20806773,-0.8693112,0.16936578,-0.26281694,-1.1553205,0.100171715,-0.36984417,-1.277178,-0.028363395,-0.4826569,-1.241114,-0.116825886,0.07171865,-0.83649987,0.10789076,0.050202668,-1.0776926,0.024310803,-0.06963166,-1.1895653,-0.05910037,-0.20857705,-1.1774522,-0.114487275
IDLE,0.0,0.0,0.0,-0.5215401,-0.18597484,-0.08524838,-0.8618723,-0.40957442,-0.086312324,-1.0598184,-0.6910735,-0.10274919,-1.0787777,-0.92340094,-0.10339454,-0.6815593,-0.790034,0.24971788,-0.8216655,-1.033786,0.21520421,-0.9033067,-1.1538723,0.1022448,-0.98490375,-1.2650561,-9.929861E-4,-0.4498826,-0.861116,0.23682277,-0.5577832,-1.1536628,0.22271752,-0.6433757,-1.2850889,0.093633845,-0.75074744,-1.3423878,-0.020319939,-0.20622766,-0.8675677,0.18552524,-0.2559716,-1.1611602,0.120803036,-0.37020314,-1.2846166,-0.0065729623,-0.49371144,-1.25084,-0.094093464,0.0741028,-0.83694434,0.12070932,0.055776343,-1.0843245,0.03966367,-0.06779203,-1.1947262,-0.043474425,-0.21362898,-1.1794364,-0.09856402
IDLE,0.0,0.0,0.0,-0.5215401,-0.18597484,-0.08524838,-0.8618723,-0.40957442,-0.086312324,-1.0598184,-0.6910735,-0.10274919,-1.0787777,-0.92340094,-0.10339454,-0.6815593,-0.790034,0.24971788,-0.8216655,-1.033786,0.21520421,-0.9033067,-1.1538723,0.1022448,-0.98490375,-1.2650561,-9.929861E-4,-0.4498826,-0.861116,0.23682277,-0.5577832,-1.1536628,0.22271752,-0.6433757,-1.2850889,0.093633845,-0.75074744,-1.3423878,-0.020319939,-0.20622766,-0.8675677,0.18552524,-0.2559716,-1.1611602,0.120803036,-0.37020314,-1.2846166,-0.0065729623,-0.49371144,-1.25084,-0.094093464,0.0741028,-0.83694434,0.12070932,0.055776343,-1.0843245,0.03966367,-0.06779203,-1.1947262,-0.043474425,-0.21362898,-1.1794364,-0.09856402
IDLE,0.0,0.0,0.0,-0.5215401,-0.18597484,-0.08524838,-0.8618723,-0.40957442,-0.086312324,-1.0598184,-0.6910735,-0.10274919,-1.0787777,-0.92340094,-0.10339454,-0.6815593,-0.790034,0.24971788,-0.8216655,-1.033786,0.21520421,-0.9033067,-1.1538723,0.1022448,-0.98490375,-1.2650561,-9.929861E-4,-0.4498826,-0.861116,0.23682277,-0.5577832,-1.1536628,0.22271752,-0.6433757,-1.2850889,0.093633845,-0.75074744,-1.3423878,-0.020319939,-0.20622766,-0.8675677,0.18552524,-0.2559716,-1.1611602,0.120803036,-0.37020314,-1.2846166,-0.0065729623,-0.49371144,-1.25084,-0.094093464,0.0741028,-0.83694434,0.12070932,0.055776343,-1.0843245,0.03966367,-0.06779203,-1.1947262,-0.043474425,-0.21362898,-1.1794364,-0.09856402
IDLE,0.0,0.0,0.0,-0.5167113,-0.1795502,-0.08776558,-0.8619816,-0.39919493,-0.08284641,-1.0554333,-0.6838732,-0.090601824,-1.0767426,-0.90810895,-0.081869215,-0.69128793,-0.7819559,0.25357172,-0.8295202,-1.0229093,0.23143059,-0.9044608,-1.1409726,0.12491389,-0.9841649,-1.2529931,0.02373205,-0.46048102,-0.85293025,0.24590087,-0.5648638,-1.1428274,0.24074891,-0.645371,-1.2718704,0.11314717,-0.7521008,-1.3294888,-0.001450383,-0.22094232,-0.85772854,0.2004933,-0.26716724,-1.1471629,0.13961518,-0.3742814,-1.2684563,0.008955255,-0.49016395,-1.229872,-0.08168135,0.057609387,-0.82831395,0.14170516,0.03825794,-1.0698133,0.060439065,-0.0765779,-1.1772741,-0.025832068,-0.21082966,-1.1592356,-0.083771154
IDLE,0.0,0.0,0.0,-0.5167113,-0.1795502,-0.08776558,-0.8619816,-0.39919493,-0.08284641,-1.0554333,-0.6838732,-0.090601824,-1.0767426,-0.90810895,-0.081869215,-0.69128793,-0.7819559,0.25357172,-0.8295202,-1.0229093,0.23143059,-0.9044608,-1.1409726,0.12491389,-0.9841649,-1.2529931,0.02373205,-0.46048102,-0.85293025,0.24590087,-0.5648638,-1.1428274,0.24074891,-0.645371,-1.2718704,0.11314717,-0.7521008,-1.3294888,-0.001450383,-0.22094232,-0.85772854,0.2004933,-0.26716724,-1.1471629,0.13961518,-0.3742814,-1.2684563,0.008955255,-0.49016395,-1.229872,-0.08168135,0.057609387,-0.82831395,0.14170516,0.03825794,-1.0698133,0.060439065,-0.0765779,-1.1772741,-0.025832068,-0.21082966,-1.1592356,-0.083771154
IDLE,0.0,0.0,0.0,-0.5097652,-0.17743799,-0.098378845,-0.86143047,-0.40321136,-0.10267434,-1.0596431,-0.6855036,-0.117387995,-1.0798526,-0.9166765,-0.11508458,-0.6923191,-0.7909509,0.22688483,-0.8312349,-1.0336007,0.19455878,-0.9080402,-1.1537102,0.088293836,-0.9869378,-1.2648492,-0.010038862,-0.4595067,-0.8602511,0.22095628,-0.5624719,-1.1502774,0.20601995,-0.64322376,-1.2813214,0.08485572,-0.74393266,-1.3375826,-0.022041801,-0.21809527,-0.8622189,0.1762849,-0.26470262,-1.1542126,0.107442304,-0.3734049,-1.2758174,-0.015070142,-0.4890548,-1.2435015,-0.09824972,0.057493303,-0.8289388,0.117636755,0.038944717,-1.0708828,0.030214103,-0.07726339,-1.1754379,-0.05341588,-0.21254596,-1.1593351,-0.10786292
IDLE,0.0,0.0,0.0,-0.5097652,-0.17743799,-0.098378845,-0.86143047,-0.40321136,-0.10267434,-1.0596431,-0.6855036,-0.117387995,-1.0798526,-0.9166765,-0.11508458,-0.6923191,-0.7909509,0.22688483,-0.8312349,-1.0336007,0.19455878,-0.9080402,-1.1537102,0.088293836,-0.9869378,-1.2648492,-0.010038862,-0.4595067,-0.8602511,0.22095628,-0.5624719,-1.1502774,0.20601995,-0.64322376,-1.2813214,0.08485572,-0.74393266,-1.3375826,-0.022041801,-0.21809527,-0.8622189,0.1762849,-0.26470262,-1.1542126,0.107442304,-0.3734049,-1.2758174,-0.015070142,-0.4890548,-1.2435015,-0.09824972,0.057493303,-0.8289388,0.117636755,0.038944717,-1.0708828,0.030214103,-0.07726339,-1.1754379,-0.05341588,-0.21254596,-1.1593351,-0.10786292
IDLE,0.0,0.0,0.0,-0.5097652,-0.17743799,-0.098378845,-0.86143047,-0.40321136,-0.10267434,-1.0596431,-0.6855036,-0.117387995,-1.0798526,-0.9166765,-0.11508458,-0.6923191,-0.7909509,0.22688483,-0.8312349,-1.0336007,0.19455878,-0.9080402,-1.1537102,0.088293836,-0.9869378,-1.2648492,-0.010038862,-0.4595067,-0.8602511,0.22095628,-0.5624719,-1.1502774,0.20601995,-0.64322376,-1.2813214,0.08485572,-0.74393266,-1.3375826,-0.022041801,-0.21809527,-0.8622189,0.1762849,-0.26470262,-1.1542126,0.107442304,-0.3734049,-1.2758174,-0.015070142,-0.4890548,-1.2435015,-0.09824972,0.057493303,-0.8289388,0.117636755,0.038944717,-1.0708828,0.030214103,-0.07726339,-1.1754379,-0.05341588,-0.21254596,-1.1593351,-0.10786292
